No,BookTitleEng,BookTitleMN,AuthorEng,AuthorMN,IllustratorEng,IllustratorBurmese,Price,ISBN,Language
69,Thu Ta Stays At Home,သုတလေးအိမ်မှာနေမယ်,U U Pone Pyin (Dr. ZarNi Win),ဦးဦးပုံပြင်(‌ဒေါက်တာဇာနည်ဝင်း),Haru ,ဟာရု,3500,ISBN 978-99971-73-99-7,Myanmar
70,Orge,ကူးစက်ရောဂါ ကာကွယ်မယ်,Than Lwin Myint,သံလွင်မြင့်,Thiha (Sakhan Thit),သီဟ (စခန်းသစ်),3500,ISBN 978-99971-43-49-5,Myanmar
71,Wutt Yee Lucky Saya Gyi,ဝတ်ရည်လပ်ကီး ဆရာကြီး,Than Lwin Myint,သံလွင်မြင့်,Sai Kham Loen,စိုင်းခမ်းလိန်,4500,ISBN 978-99971-43-51-8,Myanmar
72,Little seed to survive,သစ်စေ့ကလေးရှင်သန်ဖို့,Hnin (Pakokku),နှင်း(ပခုက္ကူ),Khae Tan,ခဲတံ,3000,ISBN 978-99971-43-50-1,Bilingual (M/E)
73,4 Special Letters,ကလေးတို့အတွက် ထူးဆန်းတဲ့ စာအိတ်လေး ၄အိတ်,Htet Ko ,ထက်ကို,Si Thu Swe,စည်သူဆွေ,3500,ISBN 978-99971-43-59-4,Bilingual (M/E)
74,Let's Grow Up Together,အရွယ်ရောက်ကြမယ်,Pan Ka Lay ,ပန်းကလေး ,Thae Oo & Bridge,သည်းဦးနှင့် bridge အဖွဲ့သားများ,4000,ISBN 978-99971-0-945-3,Myanmar
75,A Letter to Haedin,‌ဟေဒင်သို့ပေးစာ,Ei Ei Mon ,အိအိမွန်,Alex,အဲလက်စ်,3500,ISBN 978-99971-43-60-0,Myanmar
76,Hope,Hope,Thor Zin Htut Aung,သော်ဇင်ထွဋ်အောင်,Sai Kham Loen,စိုင်းခမ်းလိန်,3000,ISBN 978-99971-43-61-7,No Word
77,Stories For Communities,ရပ်ကျော်ရွာကျော်ပုံပြင်များ,Stories for communities alumini,Stories for communities alumini,Wa Lone,ဝလုံး,5000,ISBN 978-99971-43-62-4,Myanmar
78,Crystal angel and Plastics Goblin,ကျောက်ဖြူနတ်သမီး‌လေးနဲ့ ပလတ်စတစ်မင်စာ,Gu Gue ,ဂူဂူး,Si Thu Swe,စည်သူဆွေ,3500,ISBN 978-99971-43-63-1,Bilingual (M/E)
79,I love you Nyimalay,ညီမလေးကို သိပ်သိပ်ချစ်,Myat Cho Han,မြတ်ချိုဟန်,Htake Htar Lay,ထိပ်ထားလေး,4500,ISBN 978-99971-43-55-6,Bilingual (M/E)
80,Kyun Thar Yar Stories,ကျွန်းသာယာသို့ ရွက်လွှင့်ခြင်းနှင့် ကမ္ဘာအနှံ့မှ ချစ်ခြင်းမေတ္တာပုံပြင်များ,Than Lwin Myint,သံလွင်မြင့်,U Aung Myat,ဦးအောင်မြတ်,8000,ISBN 978-99971-43-64-8,Myanmar
81,Fly Phoe Phyu Fly,ပျံပျံ ဖိုးဖြူပျံ,Tint Naing Kyaw,တင့်နိုင်ကျော်,Wa Lone,ဝလုံး,3000,ISBN 978-99971-43-52-5,Bilingual (M/E)
82,The Aunt Myue Myue,ပုရွက်ဆိတ်လေးမြူးမြူး,Chan Aung,ချမ်းအောင်,Htet Htet Aung,ထက်ထက်အောင်,3000,ISBN 978-99971-43-54-9,Bilingual (M/E)
83,Lovely Daywaw ,ချစ်စရာ့ဒေဝေါ,Metta Moe Hnin (Bago),မေတ္တာမိုးနှင်း (ပဲခူး),Ku Kue,ကူကူး,3000,ISBN 978-99971-43-53-2,Bilingual (M/E)
84,Teacher Guide Book ,ဆရာလမ်းညွှန်,Third Story Project,,,,3000,,Myanmar
85,Activitiy sheets,လုပ်ဆောင်ချက်စာအုပ်,Third Story Project,,,,3000,,Myanmar
